member_id,tree_id,tree_code,node_type,historical_real,rule_profile,latest_generation_birth_year,generation_gap
1000001,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000002,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000003,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000004,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000005,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000006,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000007,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000008,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000009,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000010,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000011,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000012,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000013,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000014,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000015,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000016,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000017,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000018,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000019,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000020,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000021,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000022,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000023,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000024,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000025,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000026,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000027,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000028,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000029,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000030,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
1000031,7001,han_liu,generated,false,stage7_synthetic_v2,2008,22
