tree_id,parent_member_id,child_member_id,parent_role
7002,1008001,1008038,father
7002,1008001,1008057,father
7002,1008001,1008076,father
7002,1008001,1008095,father
7002,1008038,1008112,father
7002,1008038,1008149,father
7002,1008038,1008186,father
7002,1008057,1008121,mother
7002,1008057,1008158,mother
7002,1008057,1008195,mother
7002,1008076,1008131,father
7002,1008076,1008168,father
7002,1008076,1008205,father
7002,1008095,1008140,mother
7002,1008095,1008177,mother
7002,1008095,1008214,mother
7002,1008112,1008222,father
7002,1008112,1008277,father
7002,1008112,1008332,father
7002,1008121,1008226,mother
7002,1008121,1008281,mother
7002,1008121,1008336,mother
7002,1008131,1008231,mother
7002,1008131,1008286,mother
7002,1008131,1008341,mother
7002,1008140,1008236,father
7002,1008140,1008291,father
7002,1008140,1008346,father
7002,1008149,1008240,mother
7002,1008149,1008295,mother
7002,1008149,1008350,mother
7002,1008158,1008245,father
7002,1008158,1008300,father
7002,1008158,1008355,father
7002,1008168,1008250,father
7002,1008168,1008305,father
7002,1008168,1008360,father
7002,1008177,1008254,mother
7002,1008177,1008309,mother
7002,1008177,1008364,mother
7002,1008186,1008259,father
7002,1008186,1008314,father
7002,1008195,1008263,mother
7002,1008195,1008318,mother
7002,1008205,1008268,mother
7002,1008205,1008323,mother
7002,1008214,1008273,father
7002,1008214,1008328,father
7002,1008222,1008369,father
7002,1008222,1008443,father
7002,1008222,1008517,father
7002,1008226,1008371,father
7002,1008226,1008445,father
7002,1008226,1008519,father
7002,1008231,1008373,mother
7002,1008231,1008446,mother
7002,1008231,1008519,mother
7002,1008236,1008376,father
7002,1008236,1008450,father
7002,1008236,1008524,father
7002,1008240,1008378,father
7002,1008240,1008452,father
7002,1008240,1008526,father
7002,1008245,1008380,mother
7002,1008245,1008453,mother
7002,1008245,1008526,mother
7002,1008250,1008383,father
7002,1008250,1008457,father
7002,1008250,1008531,father
7002,1008254,1008385,father
7002,1008254,1008459,father
7002,1008254,1008533,father
7002,1008259,1008387,mother
7002,1008259,1008460,mother
7002,1008259,1008533,mother
7002,1008263,1008389,mother
7002,1008263,1008462,mother
7002,1008263,1008535,mother
7002,1008268,1008392,father
7002,1008268,1008466,father
7002,1008268,1008540,father
7002,1008273,1008394,mother
7002,1008273,1008467,mother
7002,1008273,1008540,mother
7002,1008277,1008396,mother
7002,1008277,1008469,mother
7002,1008277,1008542,mother
7002,1008281,1008398,mother
7002,1008281,1008471,mother
7002,1008281,1008544,mother
7002,1008286,1008401,father
7002,1008286,1008475,father
7002,1008286,1008549,father
7002,1008291,1008403,mother
7002,1008291,1008476,mother
7002,1008291,1008549,mother
7002,1008295,1008405,mother
7002,1008295,1008478,mother
7002,1008295,1008551,mother
7002,1008300,1008408,father
7002,1008300,1008482,father
7002,1008305,1008410,mother
7002,1008305,1008483,mother
7002,1008309,1008412,mother
7002,1008309,1008485,mother
7002,1008314,1008415,father
7002,1008314,1008489,father
7002,1008318,1008417,father
7002,1008318,1008491,father
7002,1008323,1008419,mother
7002,1008323,1008492,mother
7002,1008328,1008422,father
7002,1008328,1008496,father
7002,1008332,1008424,father
7002,1008332,1008498,father
7002,1008336,1008426,father
7002,1008336,1008500,father
7002,1008341,1008428,mother
7002,1008341,1008501,mother
7002,1008346,1008431,father
7002,1008346,1008505,father
7002,1008350,1008433,father
7002,1008350,1008507,father
7002,1008355,1008435,mother
7002,1008355,1008508,mother
7002,1008360,1008438,father
7002,1008360,1008512,father
7002,1008364,1008440,father
7002,1008364,1008514,father
7002,1008369,1008553,father
7002,1008369,1008645,father
7002,1008369,1008737,father
7002,1008371,1008554,father
7002,1008371,1008646,father
7002,1008371,1008738,father
7002,1008373,1008555,father
7002,1008373,1008647,father
7002,1008373,1008739,father
7002,1008376,1008556,mother
7002,1008376,1008648,mother
7002,1008376,1008740,mother
7002,1008378,1008557,mother
7002,1008378,1008649,mother
7002,1008378,1008741,mother
7002,1008380,1008558,mother
7002,1008380,1008650,mother
7002,1008380,1008742,mother
7002,1008383,1008560,father
7002,1008383,1008652,father
7002,1008383,1008744,father
7002,1008385,1008561,father
7002,1008385,1008653,father
7002,1008385,1008745,father
7002,1008387,1008562,father
7002,1008387,1008654,father
7002,1008387,1008746,father
7002,1008389,1008563,father
7002,1008389,1008655,father
7002,1008389,1008747,father
7002,1008392,1008564,mother
7002,1008392,1008656,mother
7002,1008392,1008748,mother
7002,1008394,1008565,mother
7002,1008394,1008657,mother
7002,1008394,1008749,mother
7002,1008396,1008566,mother
7002,1008396,1008658,mother
7002,1008396,1008750,mother
7002,1008398,1008567,mother
7002,1008398,1008659,mother
7002,1008398,1008751,mother
7002,1008401,1008569,father
7002,1008401,1008661,father
7002,1008401,1008753,father
7002,1008403,1008570,father
7002,1008403,1008662,father
7002,1008403,1008754,father
7002,1008405,1008571,father
7002,1008405,1008663,father
7002,1008405,1008755,father
7002,1008408,1008572,mother
7002,1008408,1008664,mother
7002,1008408,1008756,mother
7002,1008410,1008573,mother
7002,1008410,1008665,mother
7002,1008410,1008757,mother
7002,1008412,1008574,mother
7002,1008412,1008666,mother
7002,1008412,1008758,mother
7002,1008415,1008576,father
7002,1008415,1008668,father
7002,1008415,1008760,father
7002,1008417,1008577,father
7002,1008417,1008669,father
7002,1008417,1008761,father
7002,1008419,1008578,father
7002,1008419,1008670,father
7002,1008419,1008762,father
7002,1008422,1008579,mother
7002,1008422,1008671,mother
7002,1008422,1008763,mother
7002,1008424,1008580,mother
7002,1008424,1008672,mother
7002,1008424,1008764,mother
7002,1008426,1008581,mother
7002,1008426,1008673,mother
7002,1008426,1008765,mother
7002,1008428,1008582,mother
7002,1008428,1008674,mother
7002,1008428,1008766,mother
7002,1008431,1008584,father
7002,1008431,1008676,father
7002,1008431,1008768,father
7002,1008433,1008585,father
7002,1008433,1008677,father
7002,1008433,1008769,father
7002,1008435,1008586,father
7002,1008435,1008678,father
7002,1008435,1008770,father
7002,1008438,1008587,mother
7002,1008438,1008679,mother
7002,1008438,1008771,mother
7002,1008440,1008588,mother
7002,1008440,1008680,mother
7002,1008440,1008772,mother
7002,1008443,1008590,father
7002,1008443,1008682,father
7002,1008445,1008591,father
7002,1008445,1008683,father
7002,1008446,1008591,mother
7002,1008446,1008683,mother
7002,1008450,1008593,mother
7002,1008450,1008685,mother
7002,1008452,1008594,mother
7002,1008452,1008686,mother
7002,1008453,1008595,father
7002,1008453,1008687,father
7002,1008457,1008597,father
7002,1008457,1008689,father
7002,1008459,1008598,father
7002,1008459,1008690,father
7002,1008460,1008598,mother
7002,1008460,1008690,mother
7002,1008462,1008599,mother
7002,1008462,1008691,mother
7002,1008466,1008601,mother
7002,1008466,1008693,mother
7002,1008467,1008602,father
7002,1008467,1008694,father
7002,1008469,1008603,father
7002,1008469,1008695,father
7002,1008471,1008604,father
7002,1008471,1008696,father
7002,1008475,1008606,father
7002,1008475,1008698,father
7002,1008476,1008606,mother
7002,1008476,1008698,mother
7002,1008478,1008607,mother
7002,1008478,1008699,mother
7002,1008482,1008609,mother
7002,1008482,1008701,mother
7002,1008483,1008610,father
7002,1008483,1008702,father
7002,1008485,1008611,father
7002,1008485,1008703,father
7002,1008489,1008613,father
7002,1008489,1008705,father
7002,1008491,1008614,father
7002,1008491,1008706,father
7002,1008492,1008614,mother
7002,1008492,1008706,mother
7002,1008496,1008616,mother
7002,1008496,1008708,mother
7002,1008498,1008617,mother
7002,1008498,1008709,mother
7002,1008500,1008618,mother
7002,1008500,1008710,mother
7002,1008501,1008619,father
7002,1008501,1008711,father
7002,1008505,1008621,father
7002,1008505,1008713,father
7002,1008507,1008622,father
7002,1008507,1008714,father
7002,1008508,1008622,mother
7002,1008508,1008714,mother
7002,1008512,1008624,mother
7002,1008512,1008716,mother
7002,1008514,1008625,mother
7002,1008514,1008717,mother
7002,1008517,1008627,father
7002,1008517,1008719,father
7002,1008519,1008628,father
7002,1008519,1008720,father
7002,1008524,1008630,mother
7002,1008524,1008722,mother
7002,1008526,1008631,mother
7002,1008526,1008723,mother
7002,1008531,1008634,father
7002,1008531,1008726,father
7002,1008533,1008635,father
7002,1008533,1008727,father
7002,1008535,1008636,father
7002,1008535,1008728,father
7002,1008540,1008638,mother
7002,1008540,1008730,mother
7002,1008542,1008639,mother
7002,1008542,1008731,mother
7002,1008544,1008640,mother
7002,1008544,1008732,mother
7002,1008549,1008643,father
7002,1008549,1008735,father
7002,1008551,1008644,father
7002,1008551,1008736,father
7002,1008553,1008773,father
7002,1008553,1008883,father
7002,1008553,1008993,father
7002,1008554,1008773,mother
7002,1008554,1008883,mother
7002,1008554,1008993,mother
7002,1008555,1008774,father
7002,1008555,1008884,father
7002,1008555,1008994,father
7002,1008556,1008774,mother
7002,1008556,1008884,mother
7002,1008556,1008994,mother
7002,1008557,1008775,father
7002,1008557,1008885,father
7002,1008557,1008995,father
7002,1008558,1008775,mother
7002,1008558,1008885,mother
7002,1008558,1008995,mother
7002,1008560,1008776,mother
7002,1008560,1008886,mother
7002,1008560,1008996,mother
7002,1008561,1008777,father
7002,1008561,1008887,father
7002,1008561,1008997,father
7002,1008562,1008777,mother
7002,1008562,1008887,mother
7002,1008562,1008997,mother
7002,1008563,1008778,father
7002,1008563,1008888,father
7002,1008563,1008998,father
7002,1008564,1008778,mother
7002,1008564,1008888,mother
7002,1008564,1008998,mother
7002,1008565,1008779,father
7002,1008565,1008889,father
7002,1008565,1008999,father
7002,1008566,1008779,mother
7002,1008566,1008889,mother
7002,1008566,1008999,mother
7002,1008567,1008780,father
7002,1008567,1008890,father
7002,1008567,1009000,father
7002,1008569,1008781,father
7002,1008569,1008891,father
7002,1008569,1009001,father
7002,1008570,1008781,mother
7002,1008570,1008891,mother
7002,1008570,1009001,mother
7002,1008571,1008782,father
7002,1008571,1008892,father
7002,1008571,1009002,father
7002,1008572,1008782,mother
7002,1008572,1008892,mother
7002,1008572,1009002,mother
7002,1008573,1008783,father
7002,1008573,1008893,father
7002,1008573,1009003,father
7002,1008574,1008783,mother
7002,1008574,1008893,mother
